County,"FIPS","Year","Gender","Age Cohort","Variable","Measure Type","Value"



"Connecticut", "09", 2025, "All", "Total", "Projected Population", "Number",3746181
"Connecticut","09",2025,"Female","Total","Projected Population","Number",1918862
"Connecticut","09",2025,"Male","Total","Projected Population","Number",1827319

"Fairfield County","09001",2015,"All","Total","Projected Population","Number",932377
"Fairfield County","09001",2015,"Female","Total","Projected Population","Number",478198
"Fairfield County","09001",2015,"Male","Total","Projected Population","Number",454179

"Fairfield County","09001",2020,"All","Total","Projected Population","Number",944692
"Fairfield County","09001",2020,"Female","Total","Projected Population","Number",483750
"Fairfield County","09001",2020,"Male","Total","Projected Population","Number",460942

"Fairfield County","09001",2025,"All","Total","Projected Population","Number",954479
"Fairfield County","09001",2025,"Female","Total","Projected Population","Number",488310
"Fairfield County","09001",2025,"Male","Total","Projected Population","Number",466169

"Hartford County","09003",2015,"All","Total","Projected Population","Number",910924
"Hartford County","09003",2015,"Female","Total","Projected Population","Number",470165
"Hartford County","09003",2015,"Male","Total","Projected Population","Number",440759

"Hartford County","09003",2020,"All","Total","Projected Population","Number",925492
"Hartford County","09003",2020,"Female","Total","Projected Population","Number",477295
"Hartford County","09003",2020,"Male","Total","Projected Population","Number",448197

"Hartford County","09003",2025,"All","Total","Projected Population","Number",936810
"Hartford County","09003",2025,"Female","Total","Projected Population","Number",483109
"Hartford County","09003",2025,"Male","Total","Projected Population","Number",453701

"Litchfield County","09005",2015,"All","Total","Projected Population","Number",192188
"Litchfield County","09005",2015,"Female","Total","Projected Population","Number",97600
"Litchfield County","09005",2015,"Male","Total","Projected Population","Number",94588

"Litchfield County","09005",2020,"All","Total","Projected Population","Number",193116
"Litchfield County","09005",2020,"Female","Total","Projected Population","Number",98081
"Litchfield County","09005",2020,"Male","Total","Projected Population","Number",95035

"Litchfield County","09005",2025,"All","Total","Projected Population","Number",193112
"Litchfield County","09005",2025,"Female","Total","Projected Population","Number",98218
"Litchfield County","09005",2025,"Male","Total","Projected Population","Number",94894

"Middlesex County","09007",2015,"All","Total","Projected Population","Number",168833
"Middlesex County","09007",2015,"Female","Total","Projected Population","Number",86401
"Middlesex County","09007",2015,"Male","Total","Projected Population","Number",82432

"Middlesex County","09007",2020,"All","Total","Projected Population","Number",170518
"Middlesex County","09007",2020,"Female","Total","Projected Population","Number",87377
"Middlesex County","09007",2020,"Male","Total","Projected Population","Number",83141

"Middlesex County","09007",2025,"All","Total","Projected Population","Number",170976
"Middlesex County","09007",2025,"Female","Total","Projected Population","Number",87808
"Middlesex County","09007",2025,"Male","Total","Projected Population","Number",83168

"New Haven County","09009",2015,"All","Total","Projected Population","Number",881374
"New Haven County","09009",2015,"Female","Total","Projected Population","Number",456449
"New Haven County","09009",2015,"Male","Total","Projected Population","Number",424925

"New Haven County","09009",2020,"All","Total","Projected Population","Number",898514
"New Haven County","09009",2020,"Female","Total","Projected Population","Number",464896
"New Haven County","09009",2020,"Male","Total","Projected Population","Number",433618

"New Haven County","09009",2025,"All","Total","Projected Population","Number",912056
"New Haven County","09009",2025,"Female","Total","Projected Population","Number",471969
"New Haven County","09009",2025,"Male","Total","Projected Population","Number",440087

"New London County","09011",2015,"All","Total","Projected Population","Number",279755
"New London County","09011",2015,"Female","Total","Projected Population","Number",139766
"New London County","09011",2015,"Male","Total","Projected Population","Number",139989

"New London County","09011",2020,"All","Total","Projected Population","Number",283665
"New London County","09011",2020,"Female","Total","Projected Population","Number",141516
"New London County","09011",2020,"Male","Total","Projected Population","Number",142149

"New London County","09011",2025,"All","Total","Projected Population","Number",285773
"New London County","09011",2025,"Female","Total","Projected Population","Number",142497
"New London County","09011",2025,"Male","Total","Projected Population","Number",143276

"Tolland County","09013",2015,"All","Total","Projected Population","Number",155924
"Tolland County","09013",2015,"Female","Total","Projected Population","Number",77523
"Tolland County","09013",2015,"Male","Total","Projected Population","Number",78401

"Tolland County","09013",2020,"All","Total","Projected Population","Number",158606
"Tolland County","09013",2020,"Female","Total","Projected Population","Number",79255
"Tolland County","09013",2020,"Male","Total","Projected Population","Number",79351

"Tolland County","09013",2025,"All","Total","Projected Population","Number",160759
"Tolland County","09013",2025,"Female","Total","Projected Population","Number",80773
"Tolland County","09013",2025,"Male","Total","Projected Population","Number",79986

"Windham County","09015",2015,"All","Total","Projected Population","Number",122718
"Windham County","09015",2015,"Female","Total","Projected Population","Number",61618
"Windham County","09015",2015,"Male","Total","Projected Population","Number",61100

"Windham County","09015",2020,"All","Total","Projected Population","Number",126432
"Windham County","09015",2020,"Female","Total","Projected Population","Number",63312
"Windham County","09015",2020,"Male","Total","Projected Population","Number",63120

"Windham County","09015",2025,"All","Total","Projected Population","Number",129527
"Windham County","09015",2025,"Female","Total","Projected Population","Number",64763
"Windham County","09015",2025,"Male","Total","Projected Population","Number",64764
